         2232065 function calls (2223159 primitive calls) in 32.806 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12449    0.009    0.000    0.019    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/numerictypes.py:356(issubdtype)
     6584    0.003    0.000    0.019    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:460(is_categorical_dtype)
     3303    0.011    0.000    0.019    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:1084(iget)
      246    0.002    0.000    0.018    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/url.py:333(parse_url)
     2157    0.004    0.000    0.018    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:2249(_stack_arrays)
     2157    0.002    0.000    0.018    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/_asarray.py:31(require)
       59    0.000    0.000    0.017    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:1823(_consolidate_inplace)
       82    0.000    0.000    0.017    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/poolmanager.py:287(connection_from_url)
       38    0.000    0.000    0.017    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:824(_get_download_url)
       82    0.000    0.000    0.017    0.000 /home/lucas/anaconda3/lib/python3.11/email/parser.py:59(parsestr)
       82    0.000    0.000    0.016    0.000 /home/lucas/anaconda3/lib/python3.11/email/parser.py:41(parse)
       82    0.001    0.000    0.016    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connection.py:231(request)
     6584    0.003    0.000    0.016    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/base.py:286(is_dtype)
       41    0.000    0.000    0.016    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:187(get_api_base_url_for_mtls)
    21/10    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1165(_find_and_load)
       39    0.000    0.000    0.015    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:4740(_get_host_name)
    21/10    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
       21    0.000    0.000    0.015    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:2262(_consolidate)
       43    0.000    0.000    0.015    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:144(http)
       82    0.000    0.000    0.015    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/client/__init__.py:203(_http)
    30725    0.010    0.000    0.015    0.000 <frozen os>:756(encode)
    57800    0.009    0.000    0.014    0.000 <frozen os>:760(decode)
       40    0.000    0.000    0.014    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/transport/requests.py:386(__init__)
    17012    0.009    0.000    0.014    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1335(is_extension_array_dtype)
    21/10    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:666(_load_unlocked)
    20/10    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
       40    0.010    0.000    0.014    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:60(__init__)
    28864    0.006    0.000    0.013    0.000 <frozen os>:697(__iter__)
        1    0.000    0.000    0.013    0.013 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/elements/image.py:84(image)
    11412    0.004    0.000    0.013    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.013    0.013 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/elements/image.py:451(marshall_images)
        1    0.000    0.000    0.013    0.013 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/elements/image.py:330(image_to_url)
       82    0.000    0.000    0.013    0.000 /home/lucas/anaconda3/lib/python3.11/email/feedparser.py:171(feed)
    58/14    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
