,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
91,Jordan Clarkson,SG,31,UTA,45,1354,.415,14.9,,.619,.116,.336,.122,.045,.381,,.486,.590,.478,.415,.467,.301,,.366,.688,,.013,9,,.141,.389,,6,0,clarkjo01
92,Nic Claxton,C,24,BRK,44,1294,.625,3.7,,.989,.582,.346,.051,.011,.011,,.629,.758,.469,.263,.500,.250,,.692,1.000,,.285,95,,1.000,.250,,0,0,claxtni01
93,Noah Clowney,PF,19,BRK,7,69,.611,7.7,,.778,.444,.333,.000,.000,.222,,.714,1.000,.333,,,.250,,.700,1.000,,.167,3,,.750,.000,,0,0,clownno01
94,Amir Coffey,SF,26,LAC,41,735,.562,15.6,,.506,.179,.185,.117,.025,.494,,.671,.828,.667,.421,.750,.450,,.782,.972,,.037,6,,.600,.438,,2,0,coffeam01
95,John Collins,PF,26,UTA,51,1417,.522,11.1,,.680,.318,.269,.051,.042,.320,,.610,.789,.480,.429,.304,.335,,.724,.983,,.138,72,,.506,.360,,0,0,collijo01
96,Zach Collins,C,26,SAS,43,1040,.475,12.3,,.661,.259,.289,.078,.035,.339,,.582,.718,.504,.581,.214,.267,,.654,1.000,,.043,17,,.096,.231,,0,0,colliza01
97,Mike Conley,PG,36,MIN,49,1424,.443,19.3,,.349,.074,.142,.099,.033,.651,,.445,.655,.464,.308,.308,.441,,.410,.832,,.000,0,,.250,.516,,0,0,conlemi01
98,Pat Connaughton,SF,31,MIL,49,1042,.458,18.5,,.294,.184,.104,.000,.005,.706,,.627,.784,.333,,1.000,.387,,.649,.945,,.015,2,,.465,.424,,0,0,connapa01
99,Bilal Coulibaly,SF,19,WAS,53,1426,.444,13.0,,.590,.309,.199,.039,.042,.410,,.500,.682,.338,.143,.267,.363,,.638,.943,,.146,45,,.466,.426,,0,0,coulibi01
100,Ricky Council IV,SG,22,PHI,14,138,.492,9.3,,.763,.390,.288,.051,.034,.237,,.556,.609,.471,.667,.500,.286,,.600,1.000,,.085,4,,.143,.000,,0,0,councri01
101,Robert Covington,SF-PF,33,TOT,29,488,.439,16.4,,.429,.245,.143,.031,.010,.571,,.571,.625,.571,.333,.000,.339,,.750,1.000,,.031,3,,.268,.467,,0,0,covinro01
102,Torrey Craig,SF,33,CHI,33,694,.425,16.7,,.407,.222,.126,.018,.042,.593,,.500,.622,.381,.333,.286,.374,,.529,.946,,.024,3,,.434,.349,,0,0,craigto01
103,Jae Crowder,PF,33,MIL,24,593,.438,19.7,,.343,.088,.117,.058,.080,.657,,.553,.667,.625,.500,.364,.378,,.885,.941,,.000,0,,.400,.333,,0,0,crowdja01
104,Cade Cunningham,PG,22,DET,44,1496,.446,13.3,,.723,.194,.257,.158,.114,.277,,.489,.618,.409,.500,.435,.335,,.259,.747,,.020,15,,.116,.346,,2,0,cunnica01
105,Seth Curry,SG,33,TOT,39,513,.395,19.9,,.449,.066,.084,.072,.228,.551,,.440,.818,.571,.083,.395,.359,,.485,.848,,.000,0,,.315,.448,,1,0,curryse01
106,Stephen Curry,PG,35,GSW,49,1638,.465,19.9,,.394,.072,.176,.059,.086,.606,,.529,.700,.494,.483,.488,.423,,.374,.596,,.000,0,,.074,.636,,2,0,curryst01
107,Dyson Daniels,PG,20,NOP,52,1139,.438,14.1,,.570,.242,.227,.094,.008,.430,,.548,.629,.552,.333,.500,.291,,.500,1.000,,.059,11,,.373,.390,,3,0,daniedy01
108,Anthony Davis,C,30,LAL,52,1858,.553,7.8,,.925,.367,.327,.140,.091,.075,,.575,.749,.503,.408,.383,.284,,.684,.947,,.155,129,,.090,.167,,0,0,davisan02
109,Johnny Davis,SG,21,WAS,23,183,.407,9.1,,.881,.288,.373,.169,.051,.119,,.423,.706,.409,.100,.000,.286,,.500,1.000,,.034,2,,.143,.000,,1,0,davisjo06
110,JD Davison,SG,21,BOS,2,6,.000,24.3,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,1.000,.000,,0,0,davisjd01
111,Dexter Dennis,SG,24,DAL,4,30,.526,14.3,,.579,.316,.053,.105,.105,.421,,.818,1.000,1.000,.500,.500,.125,,.444,1.000,,.053,1,,.000,,,0,0,dennide01
112,DeMar DeRozan,SF,34,CHI,53,1996,.472,13.4,,.833,.172,.173,.249,.240,.167,,.499,.695,.474,.502,.374,.333,,.273,.898,,.022,15,,.333,.429,,0,0,derozde01
113,Moussa Diabaté,C,22,LAC,10,58,.500,3.3,,1.000,.556,.389,.056,.000,.000,,.500,.700,.286,.000,,,,.556,,,.333,4,,,,,0,0,diabamo01
114,Mamadi Diakite,PF,27,SAS,3,16,.800,4.2,,1.000,.600,.400,.000,.000,.000,,.800,.667,1.000,,,,,1.000,,,.200,1,,,,,0,0,diakima01
115,Hamidou Diallo,SG,25,WAS,2,5,.500,0.1,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,.000,,,.000,0,,,,,0,0,diallha01
116,Gradey Dick,SG,20,TOR,34,520,.403,18.0,,.384,.176,.101,.057,.050,.616,,.475,.607,.313,.333,.500,.357,,.828,1.000,,.038,5,,.418,.488,,0,0,dickgr01
117,Ousmane Dieng,PF,20,OKC,29,326,.426,18.1,,.366,.188,.099,.040,.040,.634,,.622,.842,.200,.500,.750,.313,,.913,1.000,,.119,12,,.328,.524,,0,0,diengou01
118,Spencer Dinwiddie,PG,30,TOT,50,1533,.393,17.1,,.438,.139,.221,.059,.020,.562,,.487,.648,.451,.333,.200,.321,,.156,.717,,.016,5,,.216,.452,,2,0,dinwisp01
119,Donte DiVincenzo,SG,27,NYK,54,1348,.458,18.9,,.307,.193,.079,.023,.012,.693,,.554,.600,.422,.615,.571,.415,,.598,.927,,.023,10,,.261,.495,,2,0,divindo01
120,Luka Dončić,PG,24,DAL,47,1760,.492,16.6,,.562,.127,.203,.162,.070,.438,,.583,.843,.558,.461,.468,.375,,.155,.298,,.002,2,,.035,.294,,3,0,doncilu01
121,Luguentz Dort,SF,24,OKC,52,1481,.439,16.9,,.408,.226,.108,.045,.028,.592,,.509,.604,.391,.526,.167,.390,,.670,.990,,.047,18,,.307,.390,,0,0,dortlu01
122,Ayo Dosunmu,SG,24,CHI,53,1349,.505,13.4,,.577,.321,.147,.058,.051,.423,,.569,.662,.459,.417,.476,.417,,.581,.904,,.022,9,,.543,.358,,1,0,dosunay01
123,Andre Drummond,C,30,CHI,55,919,.557,2.8,,.991,.752,.217,.021,.000,.009,,.562,.610,.408,.429,,.000,,.544,,,.183,49,,.000,,,3,0,drumman01
124,Chris Duarte,SF,26,SAC,37,472,.364,17.1,,.450,.186,.116,.078,.070,.550,,.414,.667,.333,.300,.000,.324,,.750,.913,,.039,4,,.380,.407,,0,0,duartch01
125,Kris Dunn,PG,29,UTA,47,843,.475,12.4,,.662,.178,.425,.050,.009,.338,,.510,.667,.462,.364,.500,.405,,.257,.967,,.059,13,,.324,.458,,1,0,dunnkr01
126,Kevin Durant,PF,35,PHO,48,1775,.538,14.8,,.732,.126,.160,.287,.159,.268,,.573,.878,.555,.492,.497,.443,,.496,.796,,.058,53,,.148,.528,,0,0,duranke01
127,Jalen Duren,C,20,DET,39,1172,.631,3.8,,.992,.533,.395,.048,.016,.008,,.636,.736,.557,.389,.000,.000,,.676,,,.276,98,,.000,,,0,0,durenja01
128,Tari Eason,PF,22,HOU,22,480,.466,9.9,,.735,.434,.185,.069,.048,.265,,.504,.561,.371,.462,.556,.360,,.471,1.000,,.122,20,,.300,.267,,0,0,easonta01
129,Anthony Edwards,SG,22,MIN,51,1786,.468,14.3,,.654,.216,.188,.129,.121,.346,,.512,.728,.449,.386,.361,.385,,.321,.550,,.051,42,,.097,.424,,3,0,edwaran01
130,Kessler Edwards,SF,23,SAC,36,178,.412,18.5,,.353,.196,.078,.000,.078,.647,,.500,.700,.250,,.250,.364,,.556,1.000,,.059,2,,.455,.467,,0,0,edwarke02
131,Keon Ellis,SG,24,SAC,33,379,.422,22.4,,.189,.089,.056,.022,.022,.811,,.647,.625,.600,1.000,.500,.370,,.636,.926,,.022,2,,.274,.250,,1,0,elliske01
