,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,std_areas_FGA
154,154,610,2024,Creator/Facilitator,Perimeter Defender,Alperen Sengun,C,HOU,63.0,63.0,8.4,15.6,1.8,0.297,13.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,9.3,1.9,5.0,1.2,0.7,2.6,3.3,21.1,22.0,0.585,0.113,0.358,10.1,22.8,16.4,25.3,1.8,2.1,12.5,27.2,3.4,3.2,6.6,0.154,3.1,1.8,4.9,3.5,7.9,0.338,0.394,0.115,0.04,7.5,1.7999999999999998,0.6
155,155,612,2024,Creator/Facilitator,No significant defensive role,Collin Sexton,SG,UTA,78.0,51.0,6.5,13.3,4.2,0.394,9.1,0.53,0.549,4.1,4.7,0.859,0.9,1.7,2.6,2.3,4.9,0.8,0.2,2.1,2.0,18.7,19.7,0.607,0.313,0.356,4.1,7.5,5.8,29.6,1.5,0.8,12.1,27.8,4.8,0.4,5.2,0.12,3.7,-1.9,1.8,2.0,12.3,0.203,0.346,0.098,0.039,2.7,21.2,8.4
156,156,615,2024,Versatile Scorer,No significant defensive role,Shaedon Sharpe,SG,POR,32.0,25.0,5.5,13.6,5.6,0.333,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5.0,1.3,2.9,0.9,0.4,2.3,2.8,15.9,11.4,0.524,0.415,0.274,4.4,14.2,9.0,13.7,1.3,1.0,12.9,22.6,-0.3,0.7,0.4,0.018,-1.9,-0.9,-2.8,-0.2,14.9,0.235,0.168,0.099,0.083,7.1,15.6,6.2
157,157,618,2024,Slasher,No significant defensive role,Pascal Siakam,PF,TOT,78.0,78.0,8.5,15.9,3.1,0.34,12.8,0.581,0.567,3.7,5.0,0.733,1.7,5.3,7.1,2.4,4.4,0.8,0.3,1.8,2.4,21.7,19.6,0.599,0.195,0.315,6.3,19.6,12.8,19.7,1.2,0.8,9.0,25.4,4.8,1.5,6.4,0.117,2.7,-0.6,2.0,2.7,9.9,0.303,0.31,0.132,0.061,3.2,29.5,11.7
158,158,623,2024,Creator/Facilitator,No significant defensive role,Anfernee Simons,SG,POR,46.0,46.0,7.8,18.2,8.8,0.385,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,2.0,5.5,0.5,0.1,2.7,2.1,22.6,15.8,0.568,0.484,0.213,1.6,11.7,6.3,27.4,0.7,0.3,12.1,28.3,1.4,0.7,2.0,0.062,2.7,-2.5,0.2,0.8,17.1,0.14,0.183,0.105,0.088,1.7999999999999998,7.7,3.0
159,159,633,2024,No significant offensive role,Switchable Defender,Jabari Smith Jr.,PF,HOU,73.0,73.0,5.0,11.0,5.0,0.368,6.0,0.528,0.539,2.0,2.5,0.822,1.8,6.4,8.2,1.2,1.5,0.7,0.8,1.2,2.7,13.9,13.9,0.575,0.453,0.224,6.6,22.9,14.7,6.8,1.1,2.3,9.1,17.8,2.0,3.3,5.3,0.109,-0.5,0.2,-0.3,1.0,16.0,0.188,0.142,0.142,0.075,6.7,18.4,7.3
160,160,637,2024,No significant offensive role,No significant defensive role,Jeremy Sochan,PF,SAS,74.0,73.0,4.6,10.5,3.1,0.308,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,1.8,3.4,0.8,0.5,1.9,2.3,11.6,11.4,0.513,0.293,0.186,7.2,18.4,12.8,16.0,1.4,1.5,14.3,19.0,-0.8,1.8,1.0,0.022,-2.8,-0.6,-3.4,-0.8,11.0,0.332,0.256,0.084,0.035,9.8,31.7,12.6
161,161,646,2024,Slasher,No significant defensive role,Isaiah Stewart,PF,DET,46.0,45.0,4.0,8.3,3.8,0.383,4.5,0.575,0.575,1.4,1.8,0.753,1.6,5.0,6.6,1.1,1.6,0.4,0.8,1.4,2.2,10.9,11.3,0.6,0.458,0.223,6.0,19.3,12.6,7.1,0.6,2.3,13.6,14.6,0.7,0.9,1.6,0.055,-1.6,-0.7,-2.3,-0.1,13.5,0.301,0.212,0.018,0.01,7.1,34.9,13.9
162,162,648,2024,No significant offensive role,Perimeter Defender,Max Strus,SF,CLE,68.0,68.0,4.4,10.4,6.9,0.348,3.5,0.563,0.536,1.1,1.4,0.798,0.9,3.9,4.8,2.4,3.9,0.9,0.4,1.6,2.5,12.2,11.6,0.557,0.663,0.133,3.5,14.4,9.1,16.6,1.5,1.2,12.7,17.5,1.0,2.5,3.5,0.077,-1.2,0.5,-0.7,0.7,18.4,0.232,0.078,0.017,0.01,3.5000000000000004,23.1,9.2
163,163,649,2024,No significant offensive role,Perimeter Defender,Jalen Suggs,SG,ORL,73.0,73.0,4.5,9.6,5.2,0.398,4.4,0.553,0.577,1.5,2.0,0.764,0.6,2.4,3.1,1.5,2.7,1.4,0.6,1.8,2.7,12.6,14.1,0.601,0.539,0.212,3.0,11.3,7.1,15.1,2.7,2.2,14.5,20.1,1.1,3.2,4.3,0.106,-0.6,1.6,1.0,1.5,16.7,0.202,0.139,0.08,0.04,4.6,25.7,10.2
164,164,652,2024,Versatile Scorer,Switchable Defender,Jayson Tatum,PF,BOS,73.0,73.0,9.1,19.4,8.2,0.379,11.1,0.541,0.553,5.6,6.7,0.834,0.9,7.3,8.2,2.0,4.9,1.0,0.6,2.5,1.9,27.0,22.3,0.605,0.426,0.345,3.0,22.0,13.0,21.1,1.4,1.4,10.3,30.4,5.7,4.3,10.0,0.184,4.5,0.6,5.1,4.7,15.4,0.222,0.167,0.093,0.092,6.4,6.0,2.3
165,165,659,2024,Versatile Scorer,No significant defensive role,Cam Thomas,SG,BRK,64.0,49.0,7.9,18.0,5.9,0.361,12.1,0.478,0.499,4.3,5.0,0.854,0.4,2.8,3.3,1.5,2.9,0.7,0.3,1.9,2.1,22.2,15.8,0.55,0.33,0.279,1.6,11.0,6.1,15.5,1.1,0.7,8.4,30.7,0.8,1.3,2.1,0.049,0.4,-1.9,-1.5,0.2,14.8,0.139,0.226,0.188,0.117,0.2,13.200000000000001,5.2
166,166,662,2024,Slasher,Perimeter Defender,Ausar Thompson,SF,DET,63.0,38.0,3.7,7.6,1.8,0.186,5.8,0.575,0.505,1.1,1.9,0.597,2.0,4.3,6.4,1.5,1.9,1.1,0.9,1.3,2.8,8.8,12.8,0.522,0.235,0.248,9.5,20.5,14.9,10.8,2.1,3.2,13.6,16.7,-0.1,1.8,1.7,0.051,-2.8,0.6,-2.2,-0.1,9.8,0.377,0.283,0.05,0.054,18.3,57.49999999999999,22.9
167,167,663,2024,Versatile Scorer,No significant defensive role,Klay Thompson,SF,GSW,75.0,61.0,6.4,14.7,8.9,0.386,5.7,0.507,0.551,1.6,1.7,0.922,0.4,2.8,3.3,1.5,2.3,0.7,0.4,1.5,1.7,17.7,13.8,0.575,0.609,0.116,1.8,11.3,6.6,11.2,1.1,1.3,9.0,24.4,1.7,1.4,3.1,0.066,0.9,-1.5,-0.6,0.8,20.3,0.051,0.108,0.106,0.125,0.2,13.3,5.3
168,168,674,2024,Slasher,Switchable Defender,Karl-Anthony Towns,PF,MIN,60.0,60.0,7.9,15.5,5.3,0.423,10.3,0.55,0.578,4.2,4.8,0.874,1.5,6.9,8.4,1.1,3.0,0.7,0.7,2.8,3.3,22.1,19.2,0.628,0.34,0.307,6.1,24.8,15.9,14.7,1.1,1.8,13.8,27.8,2.5,3.6,6.0,0.147,1.9,1.0,2.8,2.4,12.6,0.259,0.294,0.063,0.044,4.3,8.799999999999999,3.5
169,169,675,2024,No significant offensive role,No significant defensive role,Gary Trent Jr.,SG,TOR,69.0,39.0,5.1,11.9,6.3,0.397,5.5,0.466,0.535,1.0,1.3,0.763,0.3,2.3,2.7,2.4,1.7,1.1,0.1,0.7,1.3,13.8,12.3,0.551,0.534,0.113,1.5,10.1,5.7,8.7,2.0,0.5,5.1,20.1,0.8,0.8,1.6,0.04,-1.2,-1.3,-2.5,-0.2,18.4,0.115,0.12,0.101,0.13,1.2,16.400000000000002,6.5
170,170,680,2024,Slasher,Rebounding Specialist,Myles Turner,C,IND,75.0,75.0,6.1,11.7,4.2,0.356,7.5,0.61,0.582,3.2,4.1,0.773,1.5,5.4,6.9,0.9,1.3,0.5,1.9,1.4,3.1,16.9,18.9,0.622,0.358,0.351,6.5,24.2,15.3,6.3,0.9,5.4,9.4,23.4,3.0,2.2,5.2,0.124,0.8,-0.1,0.7,1.4,13.2,0.246,0.254,0.083,0.059,7.7,12.7,5.0
171,171,685,2024,No significant offensive role,Perimeter Defender,Fred VanVleet,PG,HOU,72.0,72.0,5.7,13.7,8.0,0.38,5.8,0.465,0.526,2.6,3.0,0.858,0.4,3.3,3.8,4.8,8.1,1.4,0.8,1.7,2.5,17.1,16.5,0.566,0.58,0.222,1.3,10.5,5.8,31.2,1.8,2.0,10.3,19.6,4.7,3.2,7.9,0.143,2.4,0.8,3.2,3.5,19.9,0.095,0.118,0.073,0.134,0.0,8.7,3.4
172,172,686,2024,Versatile Scorer,No significant defensive role,Devin Vassell,SG,SAS,68.0,62.0,7.3,15.5,6.6,0.372,9.0,0.544,0.55,2.4,3.0,0.801,0.4,3.4,3.8,2.6,4.1,1.1,0.3,1.6,1.1,19.5,15.7,0.578,0.422,0.19,1.4,12.4,6.8,19.2,1.6,0.8,8.6,23.8,1.8,1.5,3.3,0.069,0.9,-1.0,-0.1,1.1,16.4,0.163,0.126,0.159,0.13,5.0,18.8,7.5
173,173,689,2024,Versatile Scorer,Rebounding Specialist,Nikola Vučević,C,CHI,74.0,72.0,7.6,15.8,4.1,0.29,11.7,0.546,0.518,1.4,1.7,0.823,2.7,7.8,10.5,2.1,3.3,0.6,0.8,1.6,2.5,17.8,17.5,0.536,0.259,0.106,9.4,27.8,18.4,15.4,1.0,2.4,8.8,23.5,1.9,2.9,4.8,0.091,0.6,-0.7,-0.1,1.2,12.1,0.225,0.302,0.13,0.085,3.1,5.6000000000000005,2.2
174,174,693,2024,Slasher,Perimeter Defender,Franz Wagner,SF,ORL,70.0,70.0,7.3,15.1,4.6,0.283,10.5,0.57,0.525,3.7,4.4,0.845,1.0,4.3,5.3,2.0,3.8,1.0,0.4,1.9,2.3,19.6,17.4,0.575,0.307,0.293,3.8,16.7,10.2,18.9,1.6,1.1,10.2,25.8,2.6,3.2,5.8,0.122,0.9,0.2,1.1,1.8,11.3,0.312,0.32,0.041,0.021,6.1,12.0,4.7
175,175,704,2024,No significant offensive role,No significant defensive role,P.J. Washington,PF,TOT,72.0,44.0,4.9,11.2,5.7,0.32,5.5,0.557,0.517,1.4,2.0,0.683,1.2,4.5,5.7,1.5,1.9,1.0,0.8,1.3,2.3,12.9,12.2,0.536,0.511,0.181,4.5,17.7,11.0,9.2,1.6,2.4,10.0,19.2,-0.3,2.0,1.7,0.036,-1.8,-0.4,-2.2,-0.1,15.4,0.199,0.24,0.039,0.011,6.0,26.6,10.6
176,176,714,2024,Slasher,Paint Protector,Victor Wembanyama,C,SAS,70.0,70.0,7.7,16.6,5.5,0.322,11.1,0.535,0.518,4.1,5.1,0.797,2.3,8.3,10.6,1.1,3.8,1.2,3.6,3.6,2.2,21.3,23.1,0.565,0.33,0.311,9.0,33.6,21.1,21.5,2.0,10.1,16.1,32.4,-1.0,4.3,3.2,0.075,1.9,3.3,5.2,3.7,13.0,0.292,0.205,0.09,0.084,15.9,5.5,2.1
177,177,717,2024,Versatile Scorer,No significant defensive role,Coby White,PG,CHI,76.0,75.0,6.8,15.3,7.1,0.378,8.1,0.502,0.532,2.8,3.3,0.837,0.6,4.0,4.6,2.5,5.2,0.7,0.2,2.1,2.4,19.0,14.3,0.569,0.468,0.216,1.8,13.5,7.5,21.0,0.9,0.6,11.2,22.8,2.5,1.7,4.1,0.072,0.6,-1.3,-0.7,0.9,15.6,0.247,0.152,0.086,0.047,1.2,12.5,5.0
178,178,719,2024,Pure Shooter/Stretcher,Perimeter Defender,Derrick White,SG,BOS,72.0,72.0,5.4,11.6,6.8,0.398,4.8,0.556,0.58,1.9,2.1,0.901,0.7,3.6,4.3,3.5,5.2,1.0,1.2,1.5,2.1,15.3,17.1,0.613,0.59,0.182,2.6,11.8,7.4,21.5,1.6,3.2,11.0,18.8,4.9,3.5,8.4,0.171,2.5,1.4,3.9,3.5,17.9,0.115,0.191,0.08,0.024,1.6,20.3,8.1
179,179,723,2024,No significant offensive role,No significant defensive role,Andrew Wiggins,SF,GSW,68.0,56.0,5.0,10.9,3.5,0.363,7.4,0.496,0.511,1.9,2.5,0.743,1.6,3.0,4.5,1.4,1.7,0.6,0.6,1.2,2.1,13.0,12.7,0.542,0.319,0.23,6.9,13.0,10.0,8.7,1.1,1.9,9.0,20.9,1.1,1.3,2.4,0.063,-1.3,-1.2,-2.5,-0.2,13.0,0.206,0.295,0.082,0.098,4.8,16.0,6.3
180,180,727,2024,No significant offensive role,No significant defensive role,Grant Williams,PF,TOT,76.0,43.0,3.6,8.0,4.4,0.375,3.5,0.558,0.56,1.4,1.8,0.757,1.1,3.1,4.2,1.6,2.3,0.6,0.5,1.4,3.0,10.3,10.7,0.588,0.555,0.231,4.8,13.1,8.9,11.3,1.0,1.6,14.1,16.0,1.1,1.4,2.5,0.055,-1.9,-0.7,-2.6,-0.3,16.5,0.183,0.165,0.079,0.017,2.0,31.8,12.7
181,181,730,2024,Slasher,Perimeter Defender,Jalen Williams,PF,OKC,69.0,69.0,7.6,14.1,3.4,0.428,10.7,0.574,0.59,2.6,3.2,0.813,0.5,3.5,4.1,2.6,4.6,1.1,0.6,1.8,2.5,19.3,19.0,0.62,0.242,0.225,2.2,13.0,7.8,21.2,1.8,1.9,10.2,24.0,4.1,2.5,6.6,0.145,1.9,0.3,2.2,2.3,11.8,0.261,0.245,0.168,0.084,7.3999999999999995,10.6,4.2
182,182,736,2024,No significant offensive role,No significant defensive role,Patrick Williams,PF,CHI,43.0,30.0,3.7,8.3,3.4,0.399,4.9,0.474,0.525,1.2,1.5,0.788,1.1,2.8,3.9,1.2,1.5,0.9,0.8,1.3,2.0,10.0,11.0,0.553,0.412,0.184,4.6,12.5,8.4,7.8,1.7,2.9,12.8,16.8,0.0,1.1,1.1,0.045,-2.2,-0.2,-2.3,-0.1,14.6,0.267,0.128,0.092,0.1,10.9,30.4,12.1
183,183,738,2024,No significant offensive role,Perimeter Defender,Vince Williams Jr.,SG,MEM,52.0,33.0,3.3,7.3,4.0,0.378,3.3,0.529,0.55,2.0,2.5,0.8,1.1,4.4,5.6,1.9,3.4,0.9,0.7,1.8,2.6,10.0,12.8,0.597,0.551,0.343,4.7,19.9,12.0,18.1,1.6,2.2,17.4,15.9,0.9,1.7,2.6,0.089,-1.7,1.0,-0.7,0.5,15.7,0.245,0.142,0.045,0.016,2.4,33.5,13.4
184,184,740,2024,Creator/Facilitator,Perimeter Defender,Zion Williamson,PF,NOP,67.0,67.0,8.9,15.4,0.2,0.357,15.2,0.579,0.579,5.0,7.1,0.701,1.8,4.1,5.8,1.9,5.0,1.0,0.7,2.7,2.3,22.9,22.7,0.616,0.014,0.462,6.6,14.9,10.8,26.5,1.6,2.1,12.8,29.7,4.2,2.8,7.0,0.159,3.6,0.5,4.1,3.2,3.8,0.567,0.389,0.028,0.003,8.3,14.299999999999999,5.6
185,185,757,2024,Creator/Facilitator,No significant defensive role,Trae Young,PG,ATL,52.0,52.0,8.1,19.0,8.8,0.373,10.2,0.476,0.515,6.6,7.7,0.857,0.4,2.3,2.8,2.5,10.8,1.4,0.2,4.3,2.1,26.1,20.4,0.584,0.464,0.403,1.3,8.0,4.5,45.0,1.9,0.5,16.2,31.0,3.7,0.6,4.3,0.11,5.0,-2.2,2.7,2.2,17.6,0.122,0.188,0.157,0.069,0.1,5.5,2.2
186,186,760,2024,Slasher,Rebounding Specialist,Ivica Zubac,C,LAC,67.0,67.0,5.0,7.7,0.0,,7.7,0.647,0.647,1.8,2.5,0.723,2.9,6.4,9.3,1.2,1.4,0.3,1.2,1.2,2.7,11.7,19.2,0.669,0.0,0.324,14.2,29.1,21.9,7.5,0.6,4.1,11.9,16.6,4.2,2.3,6.4,0.173,0.7,0.0,0.7,1.2,3.7,0.493,0.466,0.041,0.0,24.4,,0.2
