,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,#,%3PA,Att.,%FGA 3P,std_areas_FGA
172,172,778,2022,Versatile Scorer,Rebounding Specialist,Nikola Vučević,C,CHI,73.0,73.0,7.5,15.8,4.5,0.314,11.3,0.537,0.518,1.3,1.7,0.76,1.9,9.1,11.0,1.7,3.2,1.0,1.0,1.9,2.5,17.6,18.2,0.533,0.287,0.105,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,1.4,3.2,4.5,0.09,0.8,0.1,0.9,1.8,13.0,0.223,0.253,0.137,0.101,3.2,3400.0,6.0,200.0,0.28600000000000003,0.1
173,173,780,2022,Slasher,No significant defensive role,Franz Wagner,SF,ORL,79.0,79.0,5.8,12.3,3.4,0.354,8.9,0.511,0.517,2.4,2.8,0.863,1.1,3.4,4.5,1.9,2.9,0.9,0.4,1.5,2.1,15.2,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10.0,21.2,2.1,1.9,4.0,0.079,-0.4,-0.3,-0.7,0.8,10.4,0.295,0.367,0.043,0.016,6.3,5900.0,22.5,0.0,0.279,0.1
174,174,784,2022,No significant offensive role,No significant defensive role,Kemba Walker,PG,NYK,37.0,37.0,4.0,10.0,5.4,0.367,4.6,0.444,0.501,1.6,1.9,0.845,0.4,2.6,3.0,2.7,3.5,0.7,0.2,1.3,1.0,11.6,13.9,0.537,0.538,0.192,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,1.0,0.9,1.8,0.093,0.7,-0.2,0.4,0.6,18.0,0.138,0.13,0.084,0.111,0.0,0.0,3.0,0.0,0.5369999999999999,0.2
175,175,793,2022,No significant offensive role,No significant defensive role,P.J. Washington,C,CHO,65.0,28.0,3.8,8.2,4.6,0.365,3.6,0.606,0.573,0.9,1.2,0.716,1.3,3.9,5.2,1.8,2.3,0.9,0.9,1.3,2.3,10.3,13.6,0.588,0.566,0.152,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,1.8,1.6,3.4,0.091,-0.2,0.2,-0.1,0.9,15.8,0.286,0.132,0.015,0.002,10.299999999999999,5100.0,25.2,300.0,0.565,0.2
176,176,802,2022,Creator/Facilitator,No significant defensive role,Russell Westbrook,PG,LAL,78.0,78.0,7.0,15.8,3.4,0.298,12.4,0.485,0.476,3.4,5.1,0.667,1.4,6.0,7.4,1.9,7.1,1.0,0.3,3.8,3.0,18.5,15.0,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,-0.6,2.3,1.7,0.03,-0.7,-0.9,-1.6,0.2,10.8,0.333,0.232,0.106,0.114,2.1,1700.0,18.099999999999998,0.0,0.21499999999999997,0.1
177,177,803,2022,No significant offensive role,No significant defensive role,Coby White,PG,CHI,61.0,17.0,4.6,10.6,5.8,0.385,4.8,0.491,0.539,1.3,1.5,0.857,0.3,2.7,3.0,2.6,2.9,0.5,0.2,1.1,2.2,12.7,12.6,0.564,0.548,0.141,1.1,11.0,6.1,15.0,0.8,0.6,9.3,19.8,1.6,0.8,2.4,0.067,-0.4,-1.7,-2.1,0.0,17.4,0.183,0.13,0.065,0.073,0.8,500.0,19.8,200.0,0.5489999999999999,0.2
178,178,804,2022,No significant offensive role,No significant defensive role,Derrick White,SG,TOT,75.0,52.0,4.5,10.7,4.9,0.312,5.7,0.515,0.493,2.7,3.1,0.864,0.5,3.0,3.5,3.1,4.9,0.9,0.8,1.6,2.3,13.2,14.8,0.549,0.461,0.294,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,2.8,2.3,5.1,0.111,0.4,0.6,0.9,1.6,15.4,0.159,0.231,0.12,0.029,0.8999999999999999,700.0,19.5,100.0,0.46099999999999997,0.1
179,179,810,2022,Slasher,No significant defensive role,Aaron Wiggins,SG,OKC,50.0,35.0,3.1,6.7,2.8,0.304,4.0,0.573,0.525,1.2,1.7,0.729,1.0,2.5,3.6,1.3,1.4,0.6,0.2,1.1,1.9,8.3,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,12.7,0.249,0.318,0.018,0.006,5.0,1500.0,36.199999999999996,0.0,0.40900000000000003,0.2
180,180,811,2022,Versatile Scorer,No significant defensive role,Andrew Wiggins,SF,GSW,73.0,73.0,6.5,14.0,5.5,0.393,8.5,0.513,0.543,2.0,3.2,0.634,1.2,3.3,4.5,1.5,2.2,1.0,0.7,1.5,2.2,17.2,15.0,0.56,0.392,0.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,1.8,3.4,5.1,0.105,0.3,0.1,0.4,1.4,14.9,0.161,0.242,0.094,0.111,5.1,4500.0,26.1,0.0,0.392,0.1
181,181,814,2022,Pure Shooter/Stretcher,No significant defensive role,Grant Williams,PF,BOS,77.0,21.0,2.7,5.6,3.4,0.411,2.3,0.569,0.597,1.1,1.2,0.905,0.8,2.7,3.6,1.2,1.0,0.5,0.7,0.8,2.4,7.8,11.2,0.635,0.597,0.22,3.8,11.8,7.9,5.7,1.0,2.8,11.6,12.6,2.4,2.6,5.1,0.13,-1.4,1.1,-0.4,0.8,16.6,0.185,0.169,0.035,0.014,3.2,1100.0,48.1,0.0,0.597,0.2
182,182,818,2022,Paint Threat,Perimeter Defender,Robert Williams,C,BOS,61.0,61.0,4.4,6.0,0.0,0.0,6.0,0.738,0.736,1.1,1.5,0.722,3.9,5.7,9.6,2.0,2.0,0.9,2.2,1.0,2.2,10.0,22.1,0.745,0.003,0.245,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,6.0,3.9,9.9,0.262,2.4,3.1,5.5,3.4,2.4,0.772,0.198,0.014,0.014,47.0,15700.0,0.0,0.0,0.0020000000000000018,0.3
183,183,826,2022,Slasher,Rebounding Specialist,Christian Wood,C,HOU,68.0,67.0,6.5,12.9,4.9,0.39,8.0,0.57,0.576,3.0,4.9,0.623,1.6,8.5,10.1,1.2,2.3,0.8,1.0,1.9,2.5,17.9,19.1,0.595,0.383,0.378,5.7,30.4,18.0,12.2,1.2,2.8,11.0,23.3,2.9,2.0,4.9,0.112,2.1,-0.4,1.6,1.9,13.0,0.312,0.211,0.054,0.041,14.7,12000.0,11.600000000000001,100.0,0.3819999999999999,0.1
184,184,838,2022,Creator/Facilitator,No significant defensive role,Trae Young,PG,ATL,76.0,76.0,9.4,20.3,8.0,0.382,12.3,0.512,0.536,6.6,7.3,0.904,0.7,3.1,3.7,2.4,9.7,0.9,0.1,4.0,1.7,28.4,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9.0,1.0,10.0,0.181,7.1,-2.0,5.2,4.8,16.5,0.159,0.204,0.116,0.126,0.0,0.0,4.8,100.0,0.395,0.1
185,185,841,2022,Paint Threat,Switchable Defender,Ivica Zubac,C,LAC,76.0,76.0,4.1,6.5,0.0,,6.5,0.626,0.626,2.2,3.0,0.727,2.9,5.6,8.5,1.1,1.6,0.5,1.0,1.5,2.7,10.3,19.2,0.66,0.0,0.459,12.8,23.7,18.4,9.8,1.0,3.5,16.1,16.8,4.3,2.9,7.2,0.187,-0.1,0.8,0.7,1.3,3.4,0.58,0.382,0.032,0.006,24.8,11000.0,,0.0,0.0,0.2
