,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,#,%3PA,Att.,%FGA 3P,std_areas_FGA
54,54,178,2022,Creator/Facilitator,No significant defensive role,Spencer Dinwiddie,PG,TOT,67.0,51.0,4.6,11.0,4.9,0.339,6.0,0.479,0.493,2.9,3.8,0.774,0.7,3.5,4.2,3.2,5.2,0.7,0.2,1.6,2.2,13.7,15.1,0.543,0.449,0.343,2.6,13.0,7.8,25.7,1.1,0.6,10.9,21.4,2.7,1.4,4.1,0.098,0.8,-0.4,0.3,1.1,15.6,0.176,0.237,0.088,0.05,0.7000000000000001,300.0,18.2,100.0,0.44899999999999995,0.1
55,55,185,2022,Creator/Facilitator,Perimeter Defender,Luka Dončić,PG,DAL,65.0,65.0,9.9,21.6,8.8,0.353,12.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,1.9,8.7,1.2,0.6,4.5,2.2,28.4,25.1,0.571,0.406,0.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9,15.9,0.128,0.239,0.165,0.062,0.6,700.0,4.9,200.0,0.4059999999999999,0.1
56,56,186,2022,No significant offensive role,No significant defensive role,Luguentz Dort,SG,OKC,51.0,51.0,5.7,14.2,7.7,0.332,6.6,0.487,0.493,3.2,3.7,0.843,0.7,3.4,4.2,1.0,1.7,0.9,0.4,1.7,2.9,17.2,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1.0,9.8,23.3,0.2,1.1,1.4,0.04,-1.5,-0.7,-2.3,-0.1,16.4,0.197,0.204,0.029,0.032,3.6999999999999997,2400.0,14.299999999999999,100.0,0.5379999999999999,0.2
57,57,187,2022,No significant offensive role,No significant defensive role,Ayo Dosunmu,SG,CHI,77.0,40.0,3.6,6.9,2.4,0.376,4.5,0.596,0.585,0.7,1.0,0.679,0.4,2.4,2.8,2.4,3.3,0.8,0.4,1.4,2.4,8.8,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3.0,0.069,-1.9,-0.1,-2.0,0.0,12.3,0.368,0.114,0.097,0.073,4.5,2000.0,48.9,100.0,0.3480000000000001,0.1
58,58,202,2022,No significant offensive role,No significant defensive role,Chris Duarte,SG,IND,55.0,39.0,4.9,11.3,4.6,0.369,6.7,0.475,0.507,1.6,2.0,0.804,0.7,3.4,4.1,1.3,2.1,1.0,0.2,1.6,1.7,13.1,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1,15.5,0.203,0.135,0.148,0.103,2.7,1500.0,28.199999999999996,400.0,0.41100000000000003,0.1
59,59,205,2022,Creator/Facilitator,No significant defensive role,Kevin Durant,PF,BRK,55.0,55.0,10.5,20.3,5.5,0.383,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,1.8,6.4,0.9,0.9,3.5,2.1,29.9,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2.0,8.4,0.198,6.4,0.7,7.2,4.8,15.1,0.109,0.143,0.319,0.161,3.3000000000000003,3400.0,6.7,0.0,0.268,0.1
60,60,207,2022,No significant offensive role,No significant defensive role,Anthony Edwards,SG,MIN,72.0,72.0,7.6,17.3,8.4,0.357,8.9,0.519,0.527,3.1,3.9,0.786,0.9,3.9,4.8,1.5,3.8,1.5,0.6,2.6,2.3,21.3,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2.0,1.8,12.2,26.4,1.8,2.4,4.3,0.084,1.6,-0.4,1.2,2.0,15.2,0.282,0.129,0.055,0.051,5.5,5800.0,8.6,200.0,0.483,0.2
61,61,214,2022,Slasher,Paint Protector,Joel Embiid,C,PHI,68.0,68.0,9.8,19.6,3.7,0.371,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,1.4,4.2,1.1,1.5,3.1,2.7,30.6,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12.0,0.252,7.2,2.0,9.2,6.5,11.9,0.253,0.194,0.24,0.124,6.0,7400.0,4.8,100.0,0.18899999999999995,0.0
62,62,227,2022,Pure Shooter/Stretcher,Perimeter Defender,Dorian Finney-Smith,PF,DAL,80.0,80.0,4.1,8.7,5.4,0.395,3.2,0.599,0.595,0.7,1.0,0.675,1.5,3.2,4.7,1.9,1.9,1.1,0.5,1.0,2.3,11.0,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,3.4,3.2,6.6,0.121,0.1,0.7,0.8,1.9,17.0,0.233,0.098,0.025,0.016,8.200000000000001,4900.0,41.4,200.0,0.6279999999999999,0.2
63,63,237,2022,No significant offensive role,No significant defensive role,Evan Fournier,SG,NYK,80.0,80.0,5.0,12.1,7.7,0.389,4.3,0.465,0.541,1.0,1.4,0.708,0.4,2.2,2.6,1.6,2.1,1.0,0.3,1.3,2.3,14.1,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,1.5,2.2,3.7,0.075,-0.4,-0.3,-0.7,0.7,19.6,0.081,0.122,0.079,0.077,0.4,300.0,28.1,200.0,0.641,0.2
64,64,238,2022,Creator/Facilitator,No significant defensive role,De'Aaron Fox,PG,SAC,59.0,59.0,8.7,18.5,4.2,0.297,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,2.0,5.6,1.2,0.4,2.8,2.9,23.2,17.4,0.549,0.228,0.319,1.3,10.9,6.0,26.8,1.6,1.0,11.9,29.1,1.5,1.0,2.5,0.058,0.6,-1.2,-0.6,0.7,12.4,0.199,0.267,0.189,0.117,1.3,1400.0,13.700000000000001,0.0,0.22799999999999998,0.0
65,65,251,2022,No significant offensive role,No significant defensive role,Danilo Gallinari,PF,ATL,66.0,18.0,3.9,9.0,4.5,0.381,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,2.5,1.5,0.4,0.2,0.6,1.4,11.7,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,2.8,0.8,3.6,0.105,1.0,-1.2,-0.2,0.8,18.4,0.119,0.089,0.151,0.149,3.2,1900.0,11.600000000000001,200.0,0.492,0.1
66,66,255,2022,Creator/Facilitator,No significant defensive role,Darius Garland,PG,CLE,68.0,68.0,8.0,17.3,6.7,0.383,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,2.4,8.6,1.3,0.1,3.6,1.7,21.7,19.0,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,3.8,2.5,6.3,0.125,3.4,-0.8,2.6,2.8,15.5,0.195,0.183,0.137,0.097,0.1,0.0,12.6,200.0,0.388,0.1
67,67,260,2022,Versatile Scorer,Perimeter Defender,Paul George,PF,LAC,31.0,31.0,8.6,20.5,8.3,0.354,12.2,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,1.4,5.7,2.2,0.4,4.1,2.4,24.3,18.6,0.538,0.404,0.233,1.2,19.2,10.5,28.1,3.0,1.0,15.2,33.7,-0.6,1.9,1.3,0.057,1.8,1.9,3.7,1.6,16.6,0.146,0.123,0.16,0.167,1.9,1000.0,15.2,0.0,0.4039999999999999,0.1
