,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,std_areas_FGA,std_areas_FGA ranked
37,37,146,2024,Bilal Coulibaly,5,SF,5,WAS,5,63.0,7,15.0,10,3.0,10,6.9,10,2.9,9,0.346,8,3.9,9,0.502,8,0.509,9,1.5,7,2.1,7,0.702,9,0.9,5,3.2,7,4.1,7,1.2,9,1.7,9,0.9,5,0.8,3,1.4,7,2.2,5,8.4,10,8.9,10,0.543,9,0.428,5,0.303,3,3.7,5,13.8,6,8.7,6,8.2,9,1.6,4,2.3,3,15.1,2,14.3,10,-0.6,10,1.0,9,0.3,10,0.009,10,-3.6,10,-0.5,7,-4.2,10,-0.9,10,13.2,7,0.313,2,0.188,6,0.035,9,0.037,7,13.4,2,48.1,1,19.2,1
38,38,154,2024,Cade Cunningham,5,PG,5,DET,5,62.0,7,62.0,5,8.5,2,18.8,1,5.4,4,0.355,7,13.4,1,0.487,9,0.5,9,3.8,2,4.4,3,0.869,2,0.5,9,3.8,5,4.3,6,2.2,4,7.5,1,0.9,5,0.4,7,3.4,1,2.5,3,22.7,2,17.0,4,0.546,9,0.287,8,0.235,5,1.9,8,13.4,6,7.6,7,37.5,1,1.3,7,0.9,8,14.1,2,31.0,1,0.3,9,1.2,8,1.5,9,0.035,10,2.0,3,-1.7,10,0.3,5,1.2,5,13.5,7,0.177,7,0.275,3,0.154,2,0.106,2,2.1999999999999997,7,11.600000000000001,8,4.6,8
39,39,158,2024,Stephen Curry,5,PG,5,GSW,5,72.0,4,72.0,3,8.8,2,19.4,1,11.8,1,0.407,2,7.7,5,0.515,7,0.573,4,4.1,2,4.5,3,0.922,1,0.5,9,3.9,5,4.4,6,1.8,6,5.1,3,0.7,8,0.4,7,2.8,1,1.6,9,26.4,1,20.7,2,0.617,3,0.605,2,0.229,6,1.9,8,14.2,6,8.1,7,24.4,3,1.1,9,1.0,7,11.5,5,31.6,1,5.1,1,1.6,6,6.8,2,0.138,3,6.3,1,-1.2,9,5.1,1,4.2,1,19.8,1,0.076,10,0.174,7,0.064,7,0.082,3,0.0,10,8.0,9,3.2,9
40,40,160,2024,Anthony Davis,5,C,5,LAL,5,74.0,3,74.0,2,9.3,1,16.8,2,1.4,9,0.28,10,15.5,1,0.578,3,0.565,4,5.5,1,6.7,1,0.816,5,3.1,1,9.5,1,12.6,1,1.7,7,3.5,5,1.2,2,2.4,1,2.1,3,2.3,4,24.5,1,25.6,1,0.619,2,0.08,10,0.398,1,11.2,1,30.8,1,21.5,1,15.4,6,1.6,4,5.8,1,9.4,8,26.8,3,6.3,1,4.6,1,10.9,1,0.199,1,3.4,2,1.7,1,5.1,1,4.7,1,8.0,9,0.363,2,0.314,2,0.151,2,0.091,3,16.2,1,15.0,7,5.9,7
41,41,164,2024,DeMar DeRozan,5,SF,5,CHI,5,77.0,2,77.0,1,8.1,2,17.0,2,2.8,9,0.321,9,14.2,1,0.508,8,0.504,9,6.6,1,7.7,1,0.854,3,0.5,9,3.8,5,4.3,6,3.1,2,5.3,2,1.1,3,0.6,4,1.7,5,2.1,6,23.7,2,19.3,3,0.582,6,0.164,9,0.455,1,1.6,9,12.2,8,6.8,8,21.9,4,1.4,6,1.6,5,7.7,10,25.9,3,6.0,1,2.2,4,8.2,1,0.136,3,1.9,3,-0.4,6,1.5,4,2.5,3,13.2,7,0.183,7,0.172,7,0.249,1,0.232,1,1.9,7,31.6,3,12.6,3
42,42,173,2024,Spencer Dinwiddie,5,PG,5,TOT,5,74.0,3,52.0,6,3.4,10,8.6,8,4.9,5,0.337,8,3.6,9,0.467,10,0.489,10,2.2,5,2.8,5,0.8,6,0.4,9,2.3,10,2.7,10,4.0,1,4.8,4,0.7,8,0.3,8,1.2,8,1.8,8,10.6,9,11.8,9,0.541,9,0.575,2,0.323,3,1.6,9,9.8,10,5.6,10,22.9,3,1.2,8,0.9,8,10.9,6,16.8,8,2.1,5,1.4,8,3.4,6,0.078,7,-1.3,9,-0.6,7,-1.9,8,0.1,8,17.4,2,0.126,9,0.213,5,0.063,7,0.024,8,1.7000000000000002,8,24.9,5,9.9,5
43,43,176,2024,Donte DiVincenzo,5,SG,5,NYK,5,78.0,1,60.0,5,5.4,6,12.3,5,8.7,1,0.404,2,3.6,9,0.536,6,0.585,2,1.1,9,1.4,9,0.75,8,0.8,6,2.8,8,3.6,8,1.9,6,2.7,7,1.3,1,0.4,7,1.4,7,2.1,6,15.4,5,16.3,5,0.598,4,0.707,1,0.117,10,3.4,6,12.1,8,7.7,7,14.0,6,2.4,1,1.5,6,9.6,8,21.8,5,3.5,3,2.8,3,6.3,3,0.136,3,2.6,2,0.9,3,3.6,2,3.1,2,19.3,1,0.175,7,0.081,10,0.026,10,0.012,9,2.3,7,24.9,5,9.9,5
44,44,177,2024,Luka Dončić,5,PG,5,DAL,5,70.0,5,70.0,3,11.5,1,23.6,1,10.6,1,0.382,4,13.0,1,0.573,3,0.573,4,6.8,1,8.7,1,0.786,7,0.8,6,8.4,1,9.2,1,2.4,3,9.8,1,1.4,1,0.5,6,4.0,1,2.1,6,33.9,1,28.1,1,0.617,3,0.45,5,0.368,2,2.7,7,26.5,2,14.6,2,43.9,1,1.8,3,1.3,6,12.8,3,36.3,1,8.0,1,3.6,1,11.6,1,0.212,1,8.4,1,1.7,1,10.1,1,8.1,1,16.9,3,0.123,9,0.192,6,0.152,2,0.082,3,0.1,10,3.2,10,1.2,10
45,45,178,2024,Luguentz Dort,5,SF,5,OKC,5,77.0,2,77.0,1,3.7,9,8.4,8,5.0,5,0.395,3,3.4,9,0.506,8,0.557,5,1.6,7,2.0,7,0.824,4,1.0,5,2.7,9,3.6,8,1.4,9,1.4,10,0.9,5,0.6,4,1.0,9,2.9,2,11.0,8,11.1,9,0.593,5,0.598,2,0.238,5,4.3,5,11.0,9,7.8,7,6.2,10,1.5,5,2.0,4,9.4,8,15.6,9,1.8,6,2.3,4,4.1,5,0.088,6,-1.5,9,-0.3,6,-1.8,8,0.1,8,17.3,2,0.216,6,0.096,10,0.051,8,0.039,6,4.2,5,28.1,4,11.2,4
46,46,179,2024,Ayo Dosunmu,5,SG,5,CHI,5,76.0,2,37.0,8,4.7,7,9.5,7,3.9,7,0.403,2,5.6,7,0.568,3,0.583,3,1.1,9,1.4,9,0.81,5,0.7,7,2.1,10,2.8,10,2.3,4,3.2,6,0.9,5,0.5,6,1.4,7,2.2,5,12.2,7,13.4,7,0.604,4,0.41,5,0.146,9,2.9,7,8.9,10,5.8,10,15.7,5,1.6,4,1.7,5,11.9,5,17.4,8,2.3,5,1.5,7,3.9,5,0.084,7,-0.6,7,-0.3,6,-0.9,7,0.6,7,13.0,7,0.334,2,0.164,7,0.05,8,0.042,6,1.9,7,48.5,1,19.3,1
47,47,186,2024,Kevin Durant,5,PF,5,PHO,5,73.0,4,73.0,2,10.1,1,19.2,1,5.4,4,0.413,2,13.8,1,0.567,4,0.582,3,4.9,1,5.7,2,0.854,3,0.5,9,6.1,2,6.7,3,1.6,8,5.1,3,0.9,5,1.2,1,3.2,1,1.8,8,27.2,1,21.4,2,0.627,2,0.283,8,0.298,3,1.8,9,18.8,3,10.8,4,22.7,3,1.2,8,2.9,2,13.0,3,29.3,2,4.6,2,3.2,2,7.8,2,0.138,3,4.1,1,0.1,4,4.3,2,4.3,1,15.0,5,0.126,9,0.153,8,0.279,1,0.159,1,5.6000000000000005,4,16.1,7,6.4,7
48,48,187,2024,Jalen Duren,5,C,5,DET,5,60.0,8,59.0,5,5.7,5,9.3,7,0.1,10,0.0,10,9.2,3,0.621,1,0.616,1,2.3,5,2.9,5,0.787,7,3.2,1,8.5,1,11.6,1,1.1,10,2.4,7,0.6,9,0.8,3,2.1,3,3.2,1,13.7,6,18.6,3,0.65,1,0.007,10,0.314,3,12.7,1,34.5,1,23.5,1,12.6,7,0.9,10,2.3,3,16.5,1,18.5,7,2.6,4,1.9,5,4.6,4,0.125,4,-0.2,7,0.1,4,0.0,6,0.9,6,3.9,10,0.528,1,0.391,1,0.056,8,0.018,8,29.7,1,0.0,10,0.2,10
49,49,189,2024,Anthony Edwards,5,SG,5,MIN,5,77.0,2,76.0,1,9.2,1,20.0,1,6.8,2,0.362,6,13.2,1,0.514,7,0.524,8,5.3,1,6.4,1,0.833,4,0.7,7,4.8,3,5.5,4,1.7,7,5.2,3,1.3,1,0.5,6,3.0,1,1.7,9,26.3,1,19.9,2,0.576,6,0.341,7,0.32,3,2.5,8,16.1,4,9.6,5,24.7,3,1.8,3,1.3,6,11.7,5,32.7,1,2.6,4,4.5,1,7.1,2,0.126,3,3.0,2,0.5,3,3.5,2,3.8,1,14.1,6,0.227,5,0.193,6,0.124,3,0.114,2,5.1,4,8.799999999999999,9,3.4,9
50,50,193,2024,Joel Embiid,5,C,5,PHI,5,38.0,10,38.0,8,11.6,1,21.8,1,3.5,8,0.379,4,18.3,1,0.56,4,0.562,5,10.3,1,11.7,1,0.883,1,2.5,2,8.5,1,11.0,1,1.5,8,5.6,2,1.2,2,1.7,1,3.8,1,2.9,2,34.8,1,34.1,1,0.646,1,0.159,9,0.535,1,8.7,2,30.4,1,19.3,1,32.2,1,1.8,3,4.7,1,12.5,4,39.8,1,4.8,2,2.3,4,7.0,2,0.264,1,8.6,1,3.1,1,11.6,1,4.4,1,12.2,8,0.227,5,0.187,6,0.244,1,0.182,1,2.7,6,4.5,10,1.7,10
51,51,200,2024,Dorian Finney-Smith,5,PF,5,BRK,5,68.0,6,56.0,6,3.2,10,7.5,9,4.9,5,0.348,7,2.6,10,0.56,4,0.535,7,0.5,10,0.7,10,0.717,9,1.6,3,3.1,7,4.7,5,1.8,6,1.6,9,0.8,7,0.6,4,0.9,10,2.2,5,8.5,10,10.1,10,0.546,9,0.658,1,0.09,10,6.4,3,13.0,7,9.6,5,7.6,9,1.5,5,1.8,4,10.0,7,13.3,10,0.9,8,1.7,6,2.6,8,0.064,8,-1.9,9,-0.1,5,-2.0,8,0.0,8,17.6,2,0.225,5,0.096,10,0.012,10,0.01,9,5.7,4,34.8,3,13.9,2
52,52,206,2024,Simone Fontecchio,5,SF,5,TOT,5,66.0,7,43.0,8,3.8,9,8.3,8,5.1,5,0.401,2,3.2,10,0.551,5,0.582,3,0.8,10,1.0,10,0.818,5,1.0,5,2.8,8,3.7,8,1.5,8,1.5,9,0.7,8,0.3,8,1.0,9,1.7,9,10.5,9,12.1,9,0.6,4,0.609,2,0.12,9,4.6,4,13.0,7,8.8,6,8.7,9,1.3,7,1.2,7,10.5,7,16.6,8,1.4,7,0.7,10,2.0,9,0.059,9,0.0,6,-1.0,8,-1.0,7,0.4,8,17.0,3,0.17,7,0.177,6,0.033,9,0.011,9,4.9,4,43.4,1,17.3,1
53,53,214,2024,De'Aaron Fox,5,PG,5,SAC,5,71.0,5,71.0,3,9.7,1,21.0,1,7.9,1,0.367,6,13.1,1,0.519,7,0.531,7,4.2,2,5.8,1,0.733,8,0.9,5,3.7,6,4.6,5,2.2,4,5.6,2,2.0,1,0.4,7,2.6,2,2.6,3,26.6,1,19.9,2,0.563,8,0.376,6,0.274,4,3.1,6,12.7,7,7.7,7,25.2,3,2.7,1,1.1,7,10.0,7,31.3,1,2.6,4,3.1,2,5.7,3,0.107,5,2.6,2,-0.1,5,2.5,3,2.9,2,15.0,5,0.134,9,0.247,3,0.172,2,0.071,4,1.7000000000000002,8,13.200000000000001,8,5.2,8
54,54,221,2024,Daniel Gafford,5,C-PF,5,TOT,5,73.0,4,65.0,4,4.7,7,6.5,10,0.0,10,,10,6.5,6,0.725,1,0.725,1,1.6,7,2.4,6,0.674,10,2.7,1,5.0,3,7.7,2,1.6,8,1.6,9,0.9,5,2.1,1,1.0,9,3.1,1,11.1,8,21.6,2,0.731,1,0.0,10,0.368,2,12.5,1,23.9,2,18.2,2,9.0,8,1.7,3,7.1,1,11.4,5,14.8,9,5.0,2,2.5,3,7.6,2,0.201,1,0.8,5,1.9,1,2.7,3,2.2,3,2.8,10,0.666,1,0.303,2,0.027,10,0.004,10,39.1,1,,10,0.3,10
55,55,228,2024,Darius Garland,5,PG,5,CLE,5,56.0,8,56.0,6,6.6,4,14.8,4,6.3,3,0.365,6,8.6,4,0.503,8,0.522,8,2.6,4,3.1,5,0.834,4,0.5,9,2.1,10,2.7,10,2.1,5,6.6,1,1.3,1,0.1,10,3.1,1,1.7,9,18.1,4,14.6,6,0.558,8,0.423,5,0.211,7,2.0,8,7.7,10,4.9,10,29.7,2,2.0,2,0.3,10,15.9,1,25.7,3,0.4,9,1.9,5,2.3,8,0.06,8,0.2,6,-1.2,9,-1.0,7,0.5,7,15.7,4,0.169,8,0.217,5,0.114,4,0.077,4,0.0,10,14.000000000000002,7,5.5,7
56,56,232,2024,Keyonte George,5,PG,5,UTA,5,72.0,4,41.0,8,4.2,8,10.8,6,5.8,4,0.328,8,4.9,8,0.455,10,0.475,10,2.5,5,3.0,5,0.855,3,0.2,10,2.6,9,2.8,10,1.8,6,4.5,4,0.5,10,0.1,10,2.5,2,1.2,10,12.8,7,10.3,10,0.529,10,0.543,2,0.276,4,0.9,10,11.4,8,6.2,9,23.2,3,0.9,10,0.3,10,16.9,1,22.7,5,-0.7,10,0.2,10,-0.5,10,-0.011,10,-1.7,9,-2.8,10,-4.5,10,-1.2,10,17.9,2,0.076,10,0.226,4,0.102,4,0.053,5,1.4000000000000001,8,13.100000000000001,8,5.2,8
57,57,233,2024,Paul George,5,PF,5,LAC,5,73.0,4,73.0,2,7.9,2,16.9,2,8.0,1,0.412,2,8.8,4,0.523,7,0.568,4,3.6,3,4.0,3,0.907,1,0.5,9,4.8,3,5.3,4,1.7,7,3.6,5,1.5,1,0.5,6,2.1,3,2.8,2,22.8,2,19.3,3,0.611,3,0.475,4,0.235,5,1.9,8,17.0,4,9.7,5,16.1,5,2.3,1,1.3,6,10.1,7,26.9,2,4.2,2,2.7,3,6.9,2,0.133,3,2.8,2,0.2,4,3.0,2,3.2,2,17.7,2,0.128,9,0.123,9,0.123,3,0.15,1,3.2,6,13.8,7,5.5,7
58,58,237,2024,Josh Giddey,5,SG,5,OKC,5,79.0,1,79.0,1,5.1,6,10.6,6,3.0,8,0.339,8,7.6,5,0.53,6,0.524,8,1.3,8,1.6,8,0.805,6,1.4,3,5.1,3,6.4,3,2.3,4,4.8,4,0.6,9,0.6,4,2.1,3,1.4,10,12.4,7,16.7,4,0.548,9,0.285,8,0.147,9,7.0,2,23.5,2,15.6,2,26.4,3,1.3,7,2.1,3,15.6,1,23.3,5,1.1,8,2.7,3,3.9,5,0.093,6,1.1,4,0.4,4,1.4,4,1.7,4,10.8,9,0.284,3,0.337,1,0.064,7,0.03,7,0.6,9,37.2,2,14.8,2
59,59,241,2024,Shai Gilgeous-Alexander,5,PG,5,OKC,5,73.0,4,73.0,2,10.7,1,19.9,1,3.5,8,0.368,5,16.4,1,0.576,3,0.571,4,7.6,1,8.7,1,0.871,2,0.9,5,4.7,3,5.6,4,2.8,2,6.2,2,2.1,1,0.9,2,2.2,3,2.5,3,30.4,1,29.3,1,0.639,1,0.177,9,0.436,1,3.2,6,16.1,4,9.9,4,30.0,1,2.9,1,2.4,2,8.5,9,33.2,1,9.9,1,4.0,1,13.8,1,0.265,1,6.8,1,2.3,1,9.1,1,7.0,1,11.2,9,0.255,4,0.225,4,0.26,1,0.082,3,2.7,6,6.2,9,2.4,9
60,60,247,2024,Rudy Gobert,5,C,5,MIN,5,74.0,3,74.0,2,5.3,6,8.0,9,0.0,10,0.0,10,8.0,4,0.657,1,0.654,1,3.2,3,5.0,2,0.635,10,3.8,1,9.2,1,12.9,1,0.9,10,1.4,10,0.7,8,2.1,1,1.6,5,3.1,1,13.7,6,19.0,3,0.669,1,0.005,10,0.627,1,14.4,1,31.7,1,23.5,1,5.7,10,1.0,9,5.5,1,13.3,3,15.5,9,5.1,1,5.7,1,10.8,1,0.205,1,0.0,6,1.7,1,1.6,4,2.3,3,2.7,10,0.751,1,0.2,5,0.03,9,0.013,9,43.7,1,0.0,10,0.3,10
61,61,251,2024,Aaron Gordon,5,PF,5,DEN,5,71.0,5,71.0,3,5.5,5,9.9,7,1.9,9,0.287,10,8.0,4,0.614,2,0.579,3,2.4,5,3.7,3,0.651,10,2.4,2,4.1,5,6.5,3,2.3,4,3.5,5,0.8,7,0.6,4,1.5,6,2.0,7,13.9,6,16.5,5,0.601,4,0.193,9,0.371,2,9.5,2,15.8,5,12.7,3,15.0,6,1.3,7,1.7,5,11.3,6,18.2,7,3.9,3,2.4,4,6.3,3,0.135,3,1.0,4,0.1,4,1.1,4,1.8,4,7.4,10,0.55,1,0.186,6,0.054,8,0.017,8,25.6,1,39.7,2,15.8,2
62,62,252,2024,Eric Gordon,5,SG,5,PHO,5,67.0,6,24.0,9,4.1,8,9.1,8,5.9,3,0.382,4,3.3,10,0.559,4,0.568,4,0.8,10,1.0,10,0.797,6,0.2,10,1.6,10,1.8,10,1.8,6,2.0,8,1.0,4,0.4,7,1.1,9,1.2,10,11.1,8,10.9,10,0.583,6,0.641,1,0.104,10,1.1,10,6.4,10,3.9,10,9.9,8,1.7,3,1.4,6,10.2,7,16.6,8,0.9,8,1.5,7,2.4,8,0.061,8,-1.3,9,-0.5,7,-1.8,8,0.1,8,18.4,1,0.176,7,0.148,8,0.026,10,0.008,10,0.2,10,20.1,5,8.0,5
63,63,255,2024,Jerami Grant,5,PF,5,POR,5,54.0,9,54.0,6,7.1,3,15.7,3,5.1,5,0.402,2,10.6,3,0.474,10,0.516,9,4.7,2,5.8,1,0.817,5,0.7,7,2.9,8,3.5,8,1.3,9,2.8,6,0.8,7,0.6,4,2.1,3,2.2,5,21.0,3,15.3,6,0.573,7,0.325,7,0.367,2,2.3,8,10.7,9,6.2,9,13.7,7,1.2,8,1.7,5,10.5,7,25.9,3,1.4,7,1.1,9,2.5,8,0.065,8,1.0,4,-1.1,9,-0.1,6,0.9,6,13.2,7,0.214,6,0.255,3,0.096,5,0.109,2,2.8000000000000003,6,33.300000000000004,3,13.2,3
64,64,259,2024,Draymond Green,5,PF,5,GSW,5,54.0,9,51.0,6,3.4,10,6.9,10,2.4,9,0.395,3,4.5,8,0.551,5,0.566,4,1.0,9,1.4,9,0.73,8,1.4,3,5.8,2,7.1,3,2.4,3,5.9,2,1.0,4,0.9,2,2.5,2,3.0,1,8.8,10,14.7,6,0.587,5,0.347,7,0.199,7,6.2,3,25.4,2,15.8,2,28.4,2,1.8,3,2.9,2,24.7,1,15.8,9,1.2,7,2.0,5,3.2,7,0.106,5,-0.5,7,2.9,1,2.4,3,1.6,4,11.6,8,0.293,3,0.296,2,0.056,8,0.008,10,2.1999999999999997,7,31.0,3,12.3,3
65,65,260,2024,Jalen Green,5,SG,5,HOU,5,79.0,1,79.0,1,6.9,4,16.3,2,7.3,2,0.331,8,9.0,4,0.499,8,0.498,10,3.6,3,4.4,3,0.803,6,0.5,9,4.6,4,5.2,5,1.6,8,3.6,5,0.8,7,0.4,7,2.3,3,1.4,10,19.8,3,14.9,6,0.542,9,0.449,5,0.272,4,1.8,9,16.7,4,9.2,5,17.6,5,1.3,7,1.0,7,11.3,6,27.6,2,-0.1,10,2.9,2,2.9,7,0.054,9,0.5,5,-0.8,8,-0.3,6,1.1,5,15.6,4,0.223,5,0.17,7,0.063,7,0.095,2,4.3,5,9.1,9,3.6,9
66,66,263,2024,Josh Green,5,SG,5,DAL,5,55.0,9,32.0,9,3.2,10,6.5,10,3.3,8,0.4,2,3.3,10,0.578,3,0.589,2,0.7,10,1.0,10,0.673,10,0.7,7,2.5,9,3.2,9,2.3,4,2.3,7,0.8,7,0.2,9,1.0,9,1.9,7,8.4,10,10.3,10,0.6,4,0.5,3,0.153,9,3.2,6,11.3,8,7.3,8,11.2,8,1.6,4,0.5,10,12.9,3,13.2,10,1.1,8,1.2,8,2.3,8,0.075,7,-2.1,10,-0.3,6,-2.3,9,-0.1,9,14.5,6,0.267,3,0.158,8,0.042,9,0.033,7,9.2,2,62.2,1,24.8,1
67,67,270,2024,Rui Hachimura,5,PF,5,LAL,5,66.0,7,37.0,8,5.3,6,10.0,7,3.4,8,0.422,1,6.6,6,0.593,2,0.607,1,1.5,7,2.0,7,0.735,8,0.8,6,3.4,6,4.3,6,1.7,7,1.2,10,0.6,9,0.4,7,0.7,10,1.5,9,13.6,6,15.0,6,0.625,2,0.341,7,0.2,7,4.0,5,14.8,5,9.6,5,6.2,10,1.0,9,1.2,7,5.8,10,18.9,7,2.3,5,1.4,8,3.7,6,0.1,5,-0.1,6,-1.0,8,-1.1,8,0.4,8,12.6,8,0.294,3,0.197,5,0.092,5,0.074,4,12.1,2,44.9,1,17.9,1
68,68,272,2024,Tyrese Haliburton,5,PG,5,IND,5,67.0,6,66.0,4,7.3,3,15.3,3,7.8,1,0.367,6,7.5,5,0.589,2,0.569,4,2.9,4,3.3,4,0.857,3,0.5,9,3.4,6,3.9,7,4.7,1,10.9,1,1.2,2,0.7,3,2.3,3,1.1,10,20.3,3,23.2,1,0.605,3,0.508,3,0.218,6,1.9,8,12.7,7,7.3,8,44.9,1,1.8,3,1.7,5,11.9,5,24.9,4,7.0,1,1.5,7,8.5,1,0.188,1,7.3,1,-0.4,6,6.9,1,4.9,1,17.6,2,0.153,8,0.173,7,0.087,5,0.079,3,2.3,7,7.7,9,3.0,9
69,69,274,2024,Tim Hardaway Jr.,5,SF,5,DAL,5,77.0,2,10.0,10,5.0,6,12.5,5,7.6,2,0.355,7,4.8,8,0.48,9,0.512,9,1.9,6,2.2,6,0.856,3,0.3,10,3.0,7,3.3,9,1.9,6,1.7,9,0.5,10,0.1,10,0.9,10,1.4,10,14.6,6,12.3,8,0.545,9,0.612,1,0.174,8,1.3,10,13.0,7,7.1,8,9.0,8,0.9,10,0.3,10,6.2,10,22.9,5,0.7,9,1.4,8,2.1,8,0.049,9,-0.7,8,-2.1,10,-2.8,10,-0.4,10,19.7,1,0.093,10,0.087,10,0.102,4,0.106,2,1.7000000000000002,8,25.5,4,10.2,4
70,70,275,2024,James Harden,5,PG,5,LAC,5,71.0,5,71.0,3,4.9,7,11.5,6,6.8,2,0.383,4,4.7,8,0.497,8,0.543,6,4.2,2,4.8,2,0.88,1,0.5,9,4.7,3,5.2,5,3.3,1,8.6,1,1.1,3,0.8,3,2.6,2,1.8,8,16.7,5,18.6,3,0.614,3,0.594,2,0.417,1,1.8,9,16.4,4,9.4,5,33.5,1,1.6,4,2.1,3,16.0,1,20.8,6,5.7,1,2.3,4,8.1,1,0.157,2,3.8,2,0.3,4,4.1,2,3.8,1,18.5,1,0.143,8,0.137,9,0.099,4,0.027,8,0.2,10,7.3999999999999995,9,2.9,9
71,71,282,2024,Tobias Harris,5,PF,5,PHI,5,68.0,6,68.0,4,6.6,4,13.6,4,3.7,7,0.348,7,9.9,3,0.537,5,0.533,7,2.7,4,3.1,5,0.875,2,1.1,4,5.3,3,6.5,3,2.4,3,3.1,6,1.0,4,0.6,4,1.3,7,1.6,9,17.2,4,16.4,5,0.574,7,0.27,8,0.225,6,3.8,5,19.0,3,11.3,4,13.9,6,1.5,5,1.7,5,8.2,10,21.0,5,2.8,4,2.6,3,5.4,3,0.112,4,0.9,4,-0.2,5,0.7,5,1.6,4,11.9,8,0.265,4,0.254,3,0.141,2,0.07,4,4.3999999999999995,5,25.6,4,10.2,4
72,72,284,2024,Josh Hart,5,SF,5,NYK,5,78.0,1,39.0,8,3.5,9,8.3,8,3.2,8,0.309,9,5.1,8,0.503,8,0.488,10,1.1,9,1.4,9,0.786,7,1.6,3,6.7,2,8.2,2,2.9,2,4.1,4,0.9,5,0.3,8,1.4,7,2.1,6,9.2,10,11.7,9,0.516,10,0.386,6,0.174,8,5.8,3,24.5,2,15.2,2,16.5,5,1.4,6,0.8,8,13.9,2,13.5,10,1.8,6,3.4,1,5.2,4,0.095,6,-1.4,9,1.4,2,0.0,6,1.3,5,12.9,7,0.315,2,0.169,7,0.102,4,0.028,7,1.6,8,24.9,5,9.9,5
73,73,285,2024,Isaiah Hartenstein,5,C,5,NYK,5,73.0,4,47.0,7,3.1,10,4.8,10,0.0,10,0.333,8,4.8,8,0.651,1,0.65,1,1.5,7,2.1,7,0.72,9,3.2,1,5.0,3,8.2,2,2.0,5,2.4,7,1.2,2,1.1,2,1.2,8,2.8,2,7.7,10,18.8,3,0.677,1,0.009,10,0.429,1,15.5,1,24.6,2,20.1,1,13.3,7,2.4,1,4.1,1,17.3,1,11.9,10,4.3,2,3.3,2,7.6,2,0.199,1,0.6,5,2.8,1,3.5,2,2.5,3,3.5,10,0.64,1,0.269,3,0.077,6,0.006,10,26.0,1,0.0,10,0.2,10
74,74,289,2024,Killian Hayes,5,PG,5,DET,5,42.0,10,31.0,9,2.8,10,6.7,10,1.8,9,0.297,9,5.0,8,0.455,10,0.452,10,0.8,10,1.2,9,0.66,10,0.3,10,2.6,9,2.8,10,4.1,1,4.9,3,0.9,5,0.5,6,1.2,8,1.8,8,6.9,10,10.5,10,0.474,10,0.261,9,0.177,8,1.3,10,12.7,7,6.9,8,27.7,2,1.7,3,1.7,5,14.3,2,15.1,9,-0.1,10,0.7,10,0.6,10,0.03,10,-2.9,10,0.2,4,-2.7,10,-0.2,9,14.7,5,0.06,10,0.226,4,0.343,1,0.11,2,1.7999999999999998,7,28.4,4,11.3,4
75,75,290,2024,Gordon Hayward,5,SF,5,TOT,5,49.0,9,27.0,9,3.7,9,8.0,9,1.8,9,0.416,1,6.2,6,0.47,10,0.505,9,1.8,7,2.4,6,0.75,8,0.7,7,2.8,8,3.5,8,2.4,3,3.1,6,0.8,7,0.3,8,1.3,7,1.3,10,9.9,9,12.8,8,0.545,9,0.226,9,0.295,4,3.6,5,13.6,6,8.6,6,18.6,5,1.6,4,1.0,7,12.4,4,18.8,7,0.4,9,0.8,9,1.2,10,0.05,9,-1.6,9,-0.6,7,-2.2,9,-0.1,9,12.4,8,0.226,5,0.242,3,0.176,1,0.13,1,5.1,4,31.5,3,12.5,3
