Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
92,Nic Claxton,C,24,BRK,41,1218,19.4,.628,.009,.314,10.4,27.4,18.6,9.4,1.1,7.0,11.0,15.7,,2.1,1.9,4.0,.159,,0.0,1.6,1.6,1.1,claxtni01
93,Noah Clowney,PF,19,BRK,5,57,16.9,.662,.176,.353,11.0,11.7,11.3,10.1,0.0,1.6,9.2,16.2,,0.2,0.0,0.2,.157,,-0.2,-2.3,-2.5,0.0,clownno01
94,Amir Coffey,SF,26,LAC,38,659,11.4,.704,.493,.261,2.3,8.1,5.3,5.6,1.3,0.7,8.7,11.4,,1.2,0.5,1.7,.121,,-0.9,-0.2,-1.1,0.1,coffeam01
95,John Collins,PF,26,UTA,49,1360,16.1,.604,.322,.213,8.9,23.0,16.0,5.5,1.0,2.6,10.2,19.8,,1.7,1.2,2.9,.104,,-0.3,-1.2,-1.5,0.2,collijo01
96,Zach Collins,C,26,SAS,40,993,13.2,.564,.338,.254,7.7,16.6,12.1,18.3,1.0,2.4,16.7,21.6,,0.1,0.7,0.8,.038,,-2.4,-0.7,-3.0,-0.3,colliza01
97,Mike Conley,PG,36,MIN,47,1373,15.3,.620,.651,.155,1.3,9.2,5.5,30.5,1.6,0.6,10.9,14.7,,3.4,2.1,5.4,.190,,2.0,1.4,3.4,1.9,conlemi01
98,Pat Connaughton,SF,31,MIL,46,979,9.4,.602,.711,.149,3.2,12.5,8.0,11.0,1.1,0.7,11.9,10.2,,1.0,0.6,1.6,.078,,-1.3,-0.2,-1.4,0.1,connapa01
99,Bilal Coulibaly,SF,19,WAS,49,1306,8.9,.562,.402,.275,3.0,13.0,7.9,8.3,1.5,2.4,16.3,13.6,,-0.4,0.7,0.3,.013,,-3.7,-0.5,-4.2,-0.7,coulibi01
100,Ricky Council IV,SG,22,PHI,10,59,27.3,.689,.231,.962,7.4,7.5,7.5,2.6,1.6,0.0,2.6,27.4,,0.3,0.0,0.4,.292,,6.5,-0.9,5.6,0.1,councri01
101,Robert Covington,SF-PF,33,TOT,29,488,13.4,.580,.571,.265,7.0,15.0,11.0,6.1,3.9,3.3,9.1,10.5,,0.6,0.9,1.5,.143,,-1.0,3.2,2.1,0.5,covinro01
